z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
1.88500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.89000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.89500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.90000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.90500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.91000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.91500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.92000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.92500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.93000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.93500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.94000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.94500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.95000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.95500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.96000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.96500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.97000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.97500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.98000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.98500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.99000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
1.99500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.00000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.00500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.01000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.01500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.02000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.02500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.03000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.03500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.04000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.04500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.05000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.05500,266322,0.0005271283,1.000585,0.508761,25.558010,0.000000
2.06000,266322,0.0005271283,1.000585,0.508761,25.558010,0.000004
2.06500,266322,0.0005271281,1.000585,0.508761,25.558010,0.000004
2.07000,266322,0.0005271280,1.000585,0.508761,25.558009,0.000008
2.07500,266322,0.0005271276,1.000585,0.508760,25.558007,0.000008
